"Date","Central Government Total Revenue (TT$Mn)","Central Government Current Revenue (TT$Mn)","Central Government Tax Revenue (TT$Mn)","Central Government Taxes on Income and Profits (TT$Mn)","Central Government Taxes on Property (TT$Mn)","Central Government Taxes on Goods and Services (TT$Mn)","Central Government Taxes on International Trade (TT$Mn)","Central Government Tax Revenue - VAT (TT$Mn)","Central Government Non-Tax Revenue (TT$Mn)","Central Government Oil Revenue (TT$Mn)","Central Government Oil Sector - Tax Revenue (TT$Mn)","Central Government Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Oil Revenue (TT$Mn)","Central Government Non-Oil Sector - Tax Revenue (TT$Mn)","Central Government Non-Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Energy Revenue (TT$Mn)","Central Government Energy Sector - Tax Revenue (TT$Mn)","Central Government Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Energy Revenue (TT$Mn)","Central Government Non-Energy Sector - Tax Revenue(TT$Mn)","Central Government Non-Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Capital Revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Central Government Current Expenditure (TT$Mn)","Central Government Expenditure on Wages and Salaries (TT$Mn)","Central Government Expenditure on Goods & Services (TT$Mn)","Central Government Expenditure on Transfers and Subsidies (TT$Mn)","Central Government Expenditure on Subsidies (TT$Mn)","Central Government Transfers Abroad (TT$Mn)","Central Government Transfers to Non-Profit Insitutions (TT$Mn)","Central Government Transfers to Educational Insitutions (TT$Mn)","Central Government Transfers to Households (TT$Mn)","Central Government Transfers to State Enterprises (TT$Mn)","Central Government Transfers to Statutory Boards and Similar Bodies (TT$Mn)","Central Government Expenditure on Interest Payments (TT$Mn)","Central Government Capital Expenditure and Net Lending (TT$Mn)","Current Account Surplus(+) / Deficit (-) (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Primary Balance (TT$Mn)","Central Gov't Overall Fiscal Balance (TT$Mn)","Average Discount Rate - High (%)","Average Discount Rate - Low (%)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Feb-2015","2603.6","2586.5","1497.1","601.2","0.2","668.1","227.6","516.6","1089.4","77.1","51.4","25.7","2509.4","1445.7","1063.7","77.9","52.2","25.7","2525.7","1444.9","1063.7","17.1","3941.1","3464","662.6","718.1","1846.1","15.2","23","28.1","157.4","704.3","128.1","370.1","237.2","477.1","-877.5","-1415.4","-1100.3","-1337.5","3.6","3.59"
"Jan-2015","3107.5","3092.4","2309.8","1217.3","0.6","851","240.8","719.1","782.7","568.2","394.4","173.8","2524.3","1915.4","608.9","570.6","396.8","173.8","2536.9","1912.9","608.9","15.1","4837.1","4410","710.8","746.3","2620.8","31.1","12.4","27.5","123.6","921.5","82.2","1019.7","332.1","427","-1317.6","-2300.1","-1397.4","-1729.5","3.44","3.34"
"Dec-2014","7187.3","7187.3","6281.7","5585.6","0.1","506.4","189.6","341.2","905.6","2514.2","2503.9","10.3","4673.1","3777.8","895.3","4110.4","4100.1","10.3","3076.8","2181.6","895.3","0","4013.3","3521.1","722.3","493.3","2162.6","38.3","18.3","39.6","136.5","776.2","241.6","516.2","142.9","492.2","3666.1","-936.5","3316.9","3174","3.36","3.34"
"Nov-2014","3328.6","3328.2","2209","1259","0.2","712.6","237.2","542.4","1119.3","757.1","649.9","107.2","2571.2","1559.1","1012.1","759.2","652","107.2","2569.4","1557","1012.1","0.4","4318.2","3746.5","691.2","608.3","2169.5","4.5","23.9","36.7","144.3","398.8","124.2","865.3","277.6","571.6","-418.3","-1748.7","-711.9","-989.5","3.19","3.09"
"Oct-2014","2236.9","2148.4","1963.7","1147.2","0.3","553.2","263.1","356.6","184.7","710.9","552.3","158.5","1437.5","1411.4","26.1","710.9","552.4","158.5","1526","1411.3","26.1","88.5","4093","4007.2","738.2","273.1","2963.9","26.2","0.6","17.7","127","1179.8","269.8","768.5","32","85.7","-1858.8","-2567","-1824.1","-1856.1","3.09","3.09"
"Sep-2014","8552.2","8488.3","7331.9","6054.4","0.4","999.6","277.4","821.5","1156.4","3252.1","2948.3","303.9","5236.2","4383.7","852.5","4557.6","4253.7","303.9","3994.6","3078.2","852.5","63.8","11061.2","7678.7","791.4","1413.4","4903.7","54.2","65.5","46","221.7","1476.7","1259.2","600.8","570.2","3382.5","809.7","-7066.6","-1938.8","-2509","2.93","2.84"
"Aug-2014","1907","1898.8","1599.5","608.4","0.2","716.4","274.5","563.8","299.3","161.7","66.2","95.4","1737.2","1533.3","203.9","163.4","67.9","95.4","1743.6","1531.6","203.9","8.1","7014.4","6447.7","903","623.9","4593.4","9","9.2","23.2","155","3199.2","278","259.5","327.4","566.7","-4548.9","-5270.8","-4780","-5107.4","2.84","2.84"
"Jul-2014","6419.8","6419.4","6048.3","4831.9","0.4","945.4","270.6","780.2","371.1","3308","3145.2","162.8","3111.3","2903.1","208.2","4062.1","3899.3","162.8","2357.7","2149","208.2","0.4","5212.5","4241.2","804.2","683.9","2492.5","29.8","59.1","17.6","130.1","630.9","228.2","723.2","260.6","971.3","2178.1","-2854.8","1467.8","1207.3","2.93","2.84"
"Jun-2014","6772.6","6772.3","6181.4","5239.6","0.2","701.6","240","535.7","590.9","2669.2","2625.7","43.5","4103.1","3555.7","547.4","3905.8","3862.3","43.5","2866.8","2319.1","547.4","0.3","3777","3460.7","718.8","614.1","1996.5","41.7","15.4","34.6","138.1","551.7","315","428.2","131.4","316.2","3311.6","-910.2","3127","2995.6","2.84","2.84"
"May-2014","2471.3","2348.5","1627.2","840.3","0.4","585.2","201.2","406.9","721.3","487.4","133.9","353.5","1861.2","1493.3","367.8","503.9","150.5","353.5","1967.4","1476.8","367.8","122.8","6747","6194.2","669.4","525.4","4668.5","16.9","24.4","25.2","118.3","3288","150.9","642.5","330.9","552.8","-3845.6","-4779.6","-3944.8","-4275.6","2.93","2.84"
