"Date","Commercial Banks & NFIs - Regulatory Capital to Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier I Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier II Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Capital-to-Total Assets (%)","Commercial Banks & NFIs - Net Open Position in Foreign Exchange-to-Capital (%)","Commercial Banks & NFIs - Non-Performing Loans-to-Gross Loans (%)","Commercial Banks & NFIs - Non-Performing Loans (Net of Provisions)-to-Capital (%)","Commercial Banks & NFIs - Total Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - General Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Return on Assets (%)","Commercial Banks & NFIs - Return on Equity (%)","Commercial Banks & NFIs - Interest Margin-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Income-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Expenses-to-Gross Income (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Assets (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Short-Term Liabilities (%)","Commercial Banks & NFIs - Customer Deposits-to-Total (Non-Interbank) Loans (%)","Commercial Banks & NFIs - Foreign Currency Liabilities-to-Total Liabilities (%)"
"Jun-2011","26.9","23","3.9","14.4","8.9","6.3","12.7","32.8","26.4","0.4","1.7","3.1","19.5","62.6","37.4","53.4","25.6","36.1","154.8","29.7"
"Mar-2011","26.2","23.2","3","14.2","5.5","5.5","10.8","36.5","29.1","0.4","1.6","3.5","21.6","62.7","37.3","52.1","22.9","32.1","151.9","28.9"
"Dec-2010","25.7","23.5","2.2","14","6","5.8","10.9","40","33.8","0.4","2","2.3","15.1","62.8","37.2","64","22.9","31.9","151.8","29.7"
"Sep-2010","24.6","21.2","3.4","13.9","3.5","5.8","8.5","54.6","49.2","0.3","2.9","2.3","14.9","64.3","35.7","62.5","21.1","29.9","147","29.7"
"Jun-2010","24.1","21.2","2.9","13.3","4.8","6","8.9","53","47.8","0.3","2.9","2.2","14.5","65.7","34.3","63.6","25","35.3","154.5","33.2"
"Mar-2010","23.4","20.9","2.5","13","6.1","5.1","7.4","56.4","49.3","0.4","2.5","2.1","14.3","64.6","35.4","64.7","23.7","33.7","153.5","34.6"
"Dec-2009","21.8","20.1","1.6","12.3","6.1","4.6","7.4","55.1","47.8","0.3","2.2","2.6","17.5","66","34","60.4","24.1","33.8","151.5","35.7"
"Sep-2009","23.1","20.8","2.4","13.5","4.1","3.4","4.6","62.4","53.6","0.3","1.8","2.8","18.7","66.1","33.9","57.1","23.5","34","136.6","36.6"
"Jun-2009","21.3","18","3.3","13.4","-0.7","3.4","6.7","46.8","38.1","0.3","1.3","3","20","66.9","33.1","55.4","20.2","29.5","126.6","37.8"
"Mar-2009","19.6","17.4","2.2","13.1","5.7","2.9","6","48.6","38.3","0.3","1.1","2.7","18","67.8","32.2","61.7","20.7","30.3","123.3","36.2"
"Dec-2008","19.1","16.6","2.6","11.9","6.3","2.9","7.2","36.1","23.4","0.4","0.7","3.1","21.8","63","37","51.8","19.2","27.3","124.4","40.5"
