"Date","Central Government Debt Management Bills Issuances (TT$Mn)","Central Government Debt Management Bills Repayments (TT$Mn)","Central Government Debt Management Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Bill Issuances (TT$Mn)","Central Government Open Market Treasury Bill Repayments (TT$Mn)","Central Government Open Market Treasury Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Note Issuances (TT$Mn)","Central Government Open Market Treasury Note Repayments (TT$Mn)","Central Government Open Market Treasury Notes Outstanding (TT$Mn)","Liquidity Absorption Bonds Issuances (TT$M)","Liquidity Absorption Bonds Repayments (TT$M)","Liquidity Absorption Bonds Outstanding (TT$M)","Total Sterilized Debt Outstanding (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Allocations (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Conversions and Redemptions (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Outstanding (TT$M)","Central Government Domestic Bond Issues (TT$Mn)","Central Government Domestic Bond Repayments (TT$Mn)","Central Government Domestic Bonds Outstanding (TT$M)","Central Government Domestic Debt Outstanding (TT$Mn)","Central Government External Debt Outstanding (TT$Mn)","Central Government Total Debt Outstanding (TT$Mn)","Central Government External Debt Disbursements (US$Mn)","Central Government External Debt Amortization (US$Mn)","Central Government External Debt Interest Payments (US$Mn)","Central Government External Debt Service (US$Mn)","Central Government External Debt Outstanding (US$Mn)","Central Government External Bilateral Debt Outstanding (US$Mn)","Central Government External Multilateral Debt Outstanding (US$Mn)","Central Government External Commercial Debt Outstanding (US$Mn)","Central Government External Bonds Outstanding (US$Mn)","Guaranteed State-Owned Enterprise Debt Outstanding (TT$Mn)","Guaranteed Statutory Authorities Debt Outstanding (TT$Mn)","Contingent Liabilities Outstanding (TT$Mn)","Gross Public Sector Debt Outstanding (TT$Mn)","Net Public Sector Debt Outstanding (TT$Mn)","Central Government Domestic Debt to GDP Ratio (%)","Central Government External Debt to GDP Ratio (%)","Central Government Total Debt to GDP Ratio (%)","Contingent Liabilities Debt to GDP Ratio (%)","Gross Public Sector Debt to GDP Ratio (%)","Net Public Sector Debt to GDP Ratio (%)","Central Government External Debt Service Ratio (%)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Sep-2008","625","625","800","3403.1","3318.1","14240","1683.8","183","5000","0","0","4748.2","23988.2","0","0","0","1200","141.3","12620.1","33838.1","8963.3","42801.4","24","25.7","24.2","49.8","1495.2","83.6","454.6","180.3","776.7","n.d","n.d","n.d","n.d","n.d","19.3","5.1","24.4","n.d","n.d","n.d","1"
"Jun-2008","650","650","800","5301","4259.6","14155","1775.5","0","3499.2","0","0","4748.2","22402.4","0","0","0","0","103.3","11561.4","31247.5","8958","40205.5","17.7","7.2","28","35.2","1496.6","70.2","469.4","180.3","776.7","n.d","n.d","n.d","n.d","n.d","17.9","5.1","23","n.d","n.d","n.d","0.7"
"Mar-2008","625","625","800","4307.1","3620","13113.6","890.8","675","1723.8","1200","0","4748.2","19585.5","0","0","0","0","41.3","11664.7","28542.8","8709.8","37252.6","94","25.2","21.9","47.2","1486.2","70.6","464.3","174.5","776.7","n.d","n.d","n.d","n.d","n.d","16.3","5","21.3","n.d","n.d","n.d","1"
"Dec-2007","650","650","800","6128.9","2988.2","12426.5","100","390","1408","0","0","3548.2","17382.7","0","0","0","0","102.3","11722.7","27614.6","8563.9","36178.5","32","6.7","38.1","44.7","1417.4","70.6","485.7","84.3","776.7","n.d","n.d","n.d","n.d","n.d","20.3","6.3","26.5","n.d","n.d","n.d","1.3"
"Sep-2007","625","625","800","5086.3","2771.4","9285.8","0","334","1794","0","0","3548.2","14628","0","0","0","0","41.3","11825","24970.8","8223","33193.8","14.3","25.2","9.6","34.8","1392","60.1","472.3","82.9","776.7","n.d","n.d","n.d","n.d","n.d","18.2","6","24.2","n.d","n.d","n.d","1"
"Jun-2007","650","650","800","4117.9","2627.2","6970.9","900","677","1941","1017.9","0","3548.2","12460.1","0","0","0","1017.9","112.3","11866.3","22899.7","8266.7","31166.4","96.4","5.6","35.2","40.7","1402.9","60.1","483.2","82.9","776.7","n.d","n.d","n.d","n.d","n.d","16.7","6","22.8","n.d","n.d","n.d","1.2"
"Mar-2007","625","625","800","3195.2","2471.7","5480.2","200","530","2068","674.3","0","2530.3","10078.5","0","0","0","674.3","41.3","10960.7","20638.7","7697.1","28335.8","34.3","24.3","6.5","30.8","1312.3","60.1","466.3","9.2","776.7","n.d","n.d","n.d","n.d","n.d","15.1","5.6","20.7","n.d","n.d","n.d","0.9"
"Dec-2006","650","650","800","3101.7","3150","4756.7","300","805","2298","700","0","1856","8910.7","0","0","0","700","108.7","9754.6","18954.3","7627.7","26582","187.6","159.6","26.4","186","1302.3","32.4","484","9.2","776.7","n.d","n.d","n.d","n.d","n.d","16.8","6.6","23.4","n.d","n.d","n.d","5"
"Sep-2006","625","625","800","2590","1645","4805","330","334","2817","0","0","1156","8778","0","0","0","0","41.3","9163.3","18938.3","7614.5","26552.8","6.8","37.7","31.4","69.1","1285.1","3.6","493","8.5","788","n.d","n.d","n.d","n.d","n.d","16.8","6.6","23.4","n.d","n.d","n.d","1.9"
"Jun-2006","650","650","800","1910","1898","3860","1012","315","2817","0","0","1156","7833","0","0","0","0","110.6","9204.6","18037.7","7805.9","25843.6","1.4","9.3","25.3","34.5","1316.1","3.6","523.3","8.5","788","n.d","n.d","n.d","n.d","n.d","15.6","6.7","22.4","n.d","n.d","n.d","0.9"
